"crop"
CM-count,Crop,Yield,AbBiom,SumYield,sowing,harvest
[],[],[kgDM ha-1],[kgDM ha-1],[kgDM ha-1],[],[]
1,potato/moderately early potato,11478.7,6504.4,0,2015-06-01,2015-09-15
2,sugar beet/,11170.1,4721.4,0,2016-06-01,2016-09-15
3,potato/moderately early potato,7935.5,7004.8,0,2017-06-01,2017-09-15
4,sugar beet/,13155.5,5207,0,2018-06-01,2018-09-15
5,potato/moderately early potato,10211.7,8826.8,0,2019-06-01,2019-09-15

"yearly"
Year,N_1,N_2,N_3,RunOff,NLeach,Recharge
[],[kgN m-3],[kgN m-3],[kgN m-3],[mm],[kgN ha-1],[mm]
2015,0.0195123,0.010411,0.0140247,434.1,29.586,576.667
2016,0.0417814,0.0203907,0.0275219,583.4,62.586,349.801
2017,0.0471096,0.0235205,0.036326,217.9,57.048,372.382
2018,0.0586493,0.0260466,0.0367068,437.8,59.927,239.507
2019,0.0592507,0.0294866,0.0424866,363.1,75.194,315.797

"run"
Precip
[mm]
5296.4

