de-date;tavg;tmin;tmax;wind;globrad;precip;relhumid
;C_deg;C_deg;C_deg;m/s;MJ m-2 d-1;mm;%
25.12.2014;-8.6;-10.6;-6.8;2.9;4.31055;21.6;92.4
26.12.2014;-11.7;-13.8;-10.3;1.5;4.37947308;0.3;85.9
27.12.2014;-10.4;-12.9;-9.1;1.8;5.15822976;0.6;92.3
28.12.2014;-10.7;-13.0;-9.3;2.3;5.74802856;5.8;90.8
29.12.2014;-15.5;-17.9;-12.1;1.8;4.45528224;0.8;83.6
30.12.2014;-16.9;-21.2;-14.0;1.9;5.06129292;0.5;86.5
31.12.2014;-10.0;-20.2;-5.3;3.0;6.07166532;0.9;83.9
01.01.2015;-1.0;-4.4;0.9;2.0;5.2204482;1.3;92.0
02.01.2015;1.5;0.8;2.5;3.0;6.95193912;4.6;93.1
03.01.2015;1.7;0.9;2.7;3.6;7.6599036;3.6;85.3
04.01.2015;-0.4;-3.7;0.8;2.8;7.26156648;6.5;90.9
05.01.2015;-11.7;-17.9;-6.6;2.8;5.82741468;5.2;80.9
06.01.2015;-19.7;-21.6;-17.1;2.5;5.82477156;0.5;74.6
07.01.2015;-19.0;-22.7;-16.4;1.4;6.85318896;0.0;79.3
08.01.2015;-10.7;-16.6;-8.5;3.0;7.71634944;4.2;73.3
09.01.2015;-7.7;-11.0;-0.9;3.3;7.78132692;9.0;87.0
10.01.2015;-0.4;-2.6;1.4;1.6;7.71155784;1.0;86.5
11.01.2015;-0.2;-3.5;1.2;2.4;8.15451228;6.0;92.3
12.01.2015;-1.3;-4.1;2.1;3.5;8.56153296;4.5;84.8
13.01.2015;0.8;-4.2;2.9;3.6;8.5251798;4.5;84.5
14.01.2015;2.7;1.7;3.9;2.4;6.57912276;2.2;89.6
15.01.2015;1.5;0.2;3.0;1.5;9.18718344;0.4;86.4
16.01.2015;-0.4;-2.1;1.9;1.5;6.72854292;0.0;75.1
17.01.2015;-0.4;-0.6;0.3;2.8;9.269433;0.0;85.5
18.01.2015;0.4;-1.3;1.2;1.5;5.52821472;0.0;91.4
