## Site Characteristics
Country     = 'USA'
Station     = 'NASA'
Description = 'NASA'
Source      = 'NASA'
Contact     = 'Peter Uithol'
Longitude = 55.0; Latitude = 55.0; Elevation = 137.0; AngstromA = 0.16928866634246584; AngstromB = 0.5712101188198905; HasSunshine = False
## Daily weather observations (missing values are NaN)
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
19830701,14650.0,12.16,21.27,1.568767469015446,1.93,0.359,NaN
19830702,23800.0,12.8,22.77,1.8795657569525228,1.8,0.605,NaN
19830703,14360.0,18.13,25.79,2.1525595273902174,2.62,0.584,NaN
19830704,26320.0,16.83,25.5,1.9315979769947027,2.31,0.036,NaN
19830705,19980.0,17.26,26.67,1.9218231212705619,2.17,0.11499999999999999,NaN
19830706,21460.0,17.35,25.07,2.0075743207858254,1.56,0.392,NaN
19830707,17750.0,16.85,28.13,2.011377436347954,0.57,0.068,NaN
19830708,7740.0,18.44,26.48,2.212518393871125,1.29,1.082,NaN
19830709,25880.0,16.04,25.7,1.843995373586893,0.91,0.040999999999999995,NaN
19830710,29200.0,15.51,27.92,1.8264324305368718,0.84,0.014000000000000002,NaN
19830711,27430.0,18.32,26.66,2.10456479173658,1.47,0.02,NaN
19830712,20230.0,16.31,28.04,1.979876676685319,1.1,0.01,NaN
19830713,15230.0,18.42,23.81,2.141812053524032,1.03,0.279,NaN
19830714,20480.0,16.69,28.65,2.230510838712491,1.65,0.036,NaN
19830715,23510.0,18.93,24.9,2.211139634005992,1.55,0.06999999999999999,NaN
19830716,17530.0,17.57,24.73,2.088776043828488,1.27,0.189,NaN
19830717,24370.0,17.56,24.79,2.0446029103533596,1.2,0.41600000000000004,NaN
19830718,23690.0,15.96,25.02,1.9181687371693017,2.09,0.135,NaN
19830719,19730.0,12.31,19.61,1.3961030778864085,2.42,0.031,NaN
19830720,11950.0,10.09,15.16,1.184228628785037,1.31,0.413,NaN
19830721,16700.0,8.99,18.53,1.4118391324838375,2.22,0.251,NaN
19830722,17570.0,13.74,23.21,1.8090162531435445,2.04,0.497,NaN
19830723,27430.0,14.86,27.33,2.0292088433566926,0.93,0.11599999999999999,NaN
19830724,21460.0,16.29,27.58,2.062691795334557,0.96,0.062,NaN
19830725,25810.0,16.61,28.84,2.0613951019986394,1.38,0.10700000000000001,NaN
19830726,14180.0,15.86,22.64,1.6662206788113836,2.16,1.3679999999999999,NaN
19830727,26280.0,15.81,24.45,1.6079654151198155,0.86,0.001,NaN
19830728,22430.0,14.16,23.22,1.6737661651664228,1.41,0.013000000000000001,NaN
19830729,22430.0,13.57,21.57,1.4938564142353266,3.08,0.004,NaN
19830730,18250.0,10.97,18.84,1.3355743362688723,3.42,0.074,NaN
19830731,21890.0,9.94,20.91,1.4174301091044448,1.44,0.028000000000000004,NaN
19830801,15620.0,11.42,24.15,1.568767469015446,2.16,0.079,NaN
19830802,21130.0,12.5,21.71,1.587229130712589,2.82,0.29900000000000004,NaN
19830803,12020.0,9.86,18.6,1.3435685817174325,2.19,0.362,NaN
19830804,13320.0,10.49,21.0,1.498750930705772,2.35,0.23399999999999999,NaN
19830805,22390.0,12.92,22.56,1.5244300340035506,2.85,0.013000000000000001,NaN
19830806,25600.0,12.09,25.48,1.7163564077019398,1.57,0.006,NaN
19830807,22250.0,15.14,26.19,1.8451714804405384,2.3,0.005,NaN
19830808,22640.0,11.05,20.69,1.4409357044357467,2.7,0.034,NaN
19830809,16270.0,9.21,21.57,1.2945018996671733,2.78,0.025,NaN
19830810,21640.0,12.24,24.25,1.657633810945042,2.69,0.01,NaN
19830811,25060.0,14.47,26.41,1.7385638954612772,2.7,0.004,NaN
19830812,15260.0,14.3,25.68,1.613186473410724,1.68,0.009,NaN
19830813,20300.0,15.3,29.69,1.568767469015446,2.89,0.002,NaN
19830814,20840.0,17.18,28.17,1.631049489156372,2.71,0.008,NaN
19830815,21530.0,16.89,29.59,1.8759818714071386,2.24,0.002,NaN
19830816,21380.0,10.17,19.49,1.2395303143174685,3.36,0.294,NaN
19830817,16090.0,9.35,22.14,1.270564551450429,2.87,0.007000000000000001,NaN
19830818,23760.0,13.74,26.87,1.6533549505445637,2.38,0.0,NaN
19830819,13540.0,14.65,24.63,1.8113299678781154,1.46,0.307,NaN
19830820,19330.0,13.33,21.38,1.5344089581884248,1.32,0.066,NaN
19830821,15980.0,12.13,21.19,1.3659958455711463,1.25,0.004,NaN
19830822,5980.0,10.61,16.49,1.3005478138284297,2.91,1.0150000000000001,NaN
19830823,4930.0,8.49,10.92,1.0948860433443903,4.98,1.969,NaN
19830824,6880.0,9.2,14.27,1.167594615544019,3.88,0.323,NaN
19830825,20200.0,7.82,22.25,1.3723341224664052,2.34,0.044,NaN
19830826,13250.0,5.51,14.19,0.8195791262053393,2.46,0.006,NaN
19830827,6410.0,3.91,11.71,0.8081237993659695,1.03,0.097,NaN
19830828,3740.0,3.89,10.14,0.9254428219654715,1.85,0.727,NaN
19830829,20020.0,4.51,12.83,0.8024492916602007,3.72,0.7849999999999999,NaN
19830830,4680.0,5.35,11.5,0.961986898747526,1.68,0.225,NaN
19830831,12740.0,4.99,15.01,0.9120575919854848,2.34,0.136,NaN
19830901,3820.0,6.03,15.29,1.0115304350342706,3.96,0.974,NaN
19830902,12280.0,5.96,12.36,0.8919891204688767,4.17,0.252,NaN
19830903,11740.0,3.75,12.34,0.7735048376533376,4.16,0.022,NaN
19830904,10300.0,2.76,12.5,0.9827584642942316,2.9,0.649,NaN
19830905,16450.0,4.37,12.62,0.8674516401828074,3.55,0.617,NaN
19830906,19120.0,2.97,14.98,0.8259404176081638,2.33,0.009,NaN
19830907,15620.0,6.36,15.92,0.9076339279529776,1.19,0.197,NaN
19830908,15910.0,2.87,17.18,0.8827167842530089,1.35,0.004,NaN
19830909,5440.0,5.95,14.59,1.0793623189564312,2.26,0.5519999999999999,NaN
19830910,5040.0,8.72,17.03,1.2799216975872638,2.22,1.4609999999999999,NaN
19830911,10480.0,8.37,12.93,1.1045941406933222,1.2,0.5860000000000001,NaN
19830912,5720.0,4.68,12.3,0.9455183972725443,3.53,0.037,NaN
19830913,15300.0,2.15,11.74,0.7508033812722462,2.29,0.002,NaN
19830914,6190.0,5.4,11.2,0.968644731964309,2.22,0.126,NaN
19830915,4070.0000000000005,6.98,13.53,1.1652351856616745,1.73,0.639,NaN
19830916,10730.0,8.73,15.76,1.1930245868116587,2.15,0.43,NaN
19830917,6730.0,6.89,13.28,1.1121133772287237,1.47,0.183,NaN
19830918,13900.0,4.71,15.37,0.9740001932808792,2.01,0.017,NaN
19830919,15700.0,1.94,16.49,0.8895081399198617,1.29,0.0,NaN
19830920,10220.0,4.64,16.1,1.0261926488973785,1.92,0.001,NaN
19830921,14870.0,7.74,21.4,1.3988687820573145,1.72,0.006,NaN
19830922,13430.0,8.78,21.14,1.3480279711634873,1.9,0.008,NaN
19830923,14540.0,11.28,20.13,1.3444594212063117,0.86,0.004,NaN
19830924,14180.0,7.97,19.97,1.3435685817174325,1.98,0.034,NaN
19830925,13930.0,11.48,18.13,1.2901985274077423,1.68,0.017,NaN
19830926,10330.0,9.14,19.26,1.2773637606789907,2.06,0.146,NaN
19830927,6660.0,5.22,11.66,0.8969693899040194,4.41,1.252,NaN
19830928,13540.0,3.88,9.8,0.7051365967673131,6.16,0.177,NaN
19830929,9900.0,1.91,12.5,0.8429203453568486,3.64,0.807,NaN
19830930,3710.0,1.26,7.53,0.6108,4.32,0.124,NaN
19831001,11630.0,1.5,7.25,0.5872087147600318,4.33,0.040999999999999995,NaN
19831002,4720.0,-0.5,7.09,0.5919478982780612,3.2,0.040999999999999995,NaN
19831003,5150.0,-0.36,3.01,0.6099115271261435,3.08,0.5559999999999999,NaN
19831004,8420.0,-2.61,3.3,0.5480593128299854,1.85,0.238,NaN
19831005,4790.0,-2.06,1.96,0.578254282920126,1.92,0.626,NaN
19831006,10730.0,-3.48,5.2,0.5025686682165251,2.24,0.024,NaN
19831007,3670.0,-3.37,5.76,0.5863506598302033,4.79,0.666,NaN
19831008,7740.0,3.27,10.33,0.9000944915476813,5.54,0.7849999999999999,NaN
19831009,7270.0,3.17,9.01,0.7707708937549812,3.83,0.039,NaN
19831010,6050.0,6.33,14.57,0.9344622074299098,4.91,0.047,NaN
19831011,4360.0,5.21,12.32,0.8680577469047716,3.42,0.031,NaN
19831012,3170.0,4.23,10.51,0.8161275810360799,1.94,0.091,NaN
19831013,3490.0,1.55,8.67,0.8476583135493275,2.89,0.268,NaN
19831014,3240.0,3.72,8.22,0.9107917529537024,3.05,1.377,NaN
19831015,6300.0,-0.54,6.61,0.6393792147600763,3.8,0.175,NaN
19831016,6260.0,-0.49,8.11,0.7354738210710603,1.39,0.034999999999999996,NaN
19831017,7670.0,1.5,9.42,0.781205467592724,1.47,0.048,NaN
19831018,8500.0,0.88,8.42,0.6991033827118848,0.79,0.016,NaN
19831019,5760.0,1.51,8.0,0.7817580924843126,2.34,0.027000000000000003,NaN
19831020,5040.0,4.89,9.01,0.8458788301606592,4.4,0.05600000000000001,NaN
19831021,4570.0,6.46,11.13,0.9827584642942316,4.04,0.152,NaN
19831022,6550.0,2.64,9.1,0.7583042949234869,2.22,0.015,NaN
19831023,6550.0,1.31,7.91,0.6571832460871574,1.15,0.019,NaN
19831024,4540.0,1.23,4.12,0.6817661194804753,1.97,0.5469999999999999,NaN
19831025,2920.0,-0.87,6.22,0.6130261907523127,3.15,0.08399999999999999,NaN
19831026,5470.0,-4.08,5.11,0.5557808138803048,3.23,0.031,NaN
19831027,6440.0,-4.52,2.19,0.4639269894762701,3.6,0.186,NaN
19831028,2270.0,0.42,4.38,0.6778570665679081,4.72,0.697,NaN
19831029,4640.0,4.11,7.78,0.8500360935253848,4.81,0.05600000000000001,NaN
19831030,6300.0,-4.93,2.82,0.46184032461801416,2.53,0.001,NaN
19831031,6550.0,-5.78,1.66,0.36867396991554974,1.88,0.0,NaN
